date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:29	219054/219054	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-357ae%22	https://themewagon.github.io/feane/images/f4.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f4.png	(from https://themewagon.github.io/feane/)
16:37:29	229279/229279	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-37f9f%22	https://themewagon.github.io/feane/images/f3.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f3.png	(from https://themewagon.github.io/feane/)
16:37:30	276337/276337	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-43771%22	https://themewagon.github.io/feane/images/f5.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f5.png	(from https://themewagon.github.io/feane/)
16:37:30	236819/236819	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-39d13%22	https://themewagon.github.io/feane/images/f6.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f6.png	(from https://themewagon.github.io/feane/)
16:37:30	138396/138396	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-21c9c%22	https://themewagon.github.io/feane/images/f7.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f7.png	(from https://themewagon.github.io/feane/)
16:37:31	109422/109422	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-1ab6e%22	https://themewagon.github.io/feane/images/f8.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f8.png	(from https://themewagon.github.io/feane/)
16:37:32	186063/186063	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-2d6cf%22	https://themewagon.github.io/feane/images/f9.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/f9.png	(from https://themewagon.github.io/feane/)
16:37:32	39685/39685	---M--	200	added ('OK')	image/jpeg	etag:%2263d0ca18-9b05%22	https://themewagon.github.io/feane/images/client1.jpg	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/client1.jpg	(from https://themewagon.github.io/feane/)
16:37:32	43280/43280	---M--	200	added ('OK')	image/jpeg	etag:%2263d0ca18-a910%22	https://themewagon.github.io/feane/images/client2.jpg	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/client2.jpg	(from https://themewagon.github.io/feane/)
16:37:33	88144/88144	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d0ca18-15850%22	https://themewagon.github.io/feane/js/jquery-3.4.1.min.js	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/js/jquery-3.4.1.min.js	(from https://themewagon.github.io/feane/)
16:37:33	205511/205511	---M--	200	added ('OK')	image/png	etag:%2263d0ca18-322c7%22	https://themewagon.github.io/feane/images/about-img.png	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/images/about-img.png	(from https://themewagon.github.io/feane/)
16:37:33	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/Users/Admin/Desktop/Feane/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://themewagon.github.io/feane/)
16:37:33	181916/181916	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d0ca18-2c69c%22	https://themewagon.github.io/feane/js/bootstrap.js	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/js/bootstrap.js	(from https://themewagon.github.io/feane/)
16:37:34	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/Users/Admin/Desktop/Feane/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://themewagon.github.io/feane/)
16:37:34	35313/35313	---MCZ	200	added ('OK')	application/javascript	etag:%2289f1-pqI4RclbVVHDrYhQNltSADMeRqs%22	https://unpkg.com/isotope-layout@3.0.4/dist/isotope.pkgd.min.js	C:/Users/Admin/Desktop/Feane/unpkg.com/isotope-layout@3.0.4/dist/isotope.pkgd.min.js	(from https://themewagon.github.io/feane/)
16:37:35	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-b7e%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-nice-select/1.1.0/js/jquery.nice-select.min.js	C:/Users/Admin/Desktop/Feane/cdnjs.cloudflare.com/ajax/libs/jquery-nice-select/1.1.0/js/jquery.nice-select.min.js	(from https://themewagon.github.io/feane/)
16:37:35	1517/1517	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d0ca18-5ed%22	https://themewagon.github.io/feane/js/custom.js	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/js/custom.js	(from https://themewagon.github.io/feane/)
16:37:36	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/Users/Admin/Desktop/Feane/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
16:37:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://themewagon.github.io/feane/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/fonts/fontawesome-webfont3e6e.eot	(from https://themewagon.github.io/feane/css/font-awesome.min.css)
16:37:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://themewagon.github.io/feane/fonts/fontawesome-webfont.eot?	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/fonts/fontawesome-webfontd41d.eot	(from https://themewagon.github.io/feane/css/font-awesome.min.css)
16:37:37	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2263d0ca18-12d68%22	https://themewagon.github.io/feane/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/fonts/fontawesome-webfont3e6e.woff2	(from https://themewagon.github.io/feane/css/font-awesome.min.css)
16:37:37	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2263d0ca18-17ee8%22	https://themewagon.github.io/feane/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/fonts/fontawesome-webfont3e6e.woff	(from https://themewagon.github.io/feane/css/font-awesome.min.css)
16:37:38	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%2263d0ca18-286ac%22	https://themewagon.github.io/feane/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/fonts/fontawesome-webfont3e6e.ttf	(from https://themewagon.github.io/feane/css/font-awesome.min.css)
16:37:38	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://themewagon.github.io/feane/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Admin/Desktop/Feane/themewagon.github.io/feane/fonts/fontawesome-webfont3e6e.svg	(from https://themewagon.github.io/feane/css/font-awesome.min.css)
